distance_km,hour_of_day,day_of_week,is_raining,travel_time_minutes,road_qualities,congestion_levels,type_of_road,checkpoints
11.86,13,1,0,23.89,1,2,0,2
28.57,12,5,0,48.85,1,2,0,1
22.23,21,4,0,47.41,2,5,0,4
18.36,11,1,0,22.68,2,2,1,2
5.52,16,2,0,17.83,2,5,0,4
5.52,10,2,0,17.57,2,4,0,2
2.68,21,3,0,10.5,1,3,0,3
26.12,12,3,1,70.05,1,2,0,2
18.43,10,2,0,70.34,2,5,0,4
21.53,16,2,0,40.81,1,2,0,1
1.6,20,0,0,8.83,1,3,0,3
29.13,8,6,0,73.74,2,4,0,4
25.14,10,0,1,83.59,2,1,1,0
7.16,10,6,0,15.95,2,1,0,2
6.27,14,4,0,15.7,2,2,0,3
6.32,20,3,0,14.94,1,5,0,1
9.82,8,3,0,29.45,2,3,1,0
16.22,11,2,0,41.01,0,4,0,2
13.53,22,2,0,23.83,2,4,1,3
9.45,13,4,1,32.0,1,4,0,4
18.74,16,5,0,25.53,1,1,1,2
5.05,11,5,0,14.59,2,3,0,3
9.47,13,5,0,16.98,1,1,0,2
11.62,15,3,0,25.29,1,2,0,3
14.23,8,0,0,55.41,1,4,0,4
23.77,19,5,0,47.06,0,3,1,2
6.79,19,1,0,29.07,1,4,0,3
15.91,15,4,0,24.91,1,1,0,0
18.18,17,5,0,31.38,1,1,0,1
2.35,11,1,0,9.38,1,1,0,3
18.62,17,5,1,65.22,2,4,0,3
5.95,19,0,0,22.24,1,3,0,3
2.89,7,0,0,8.27,1,3,1,2
28.52,14,5,0,31.39,2,2,1,1
29.0,15,1,0,58.85,1,4,0,2
24.44,22,4,0,43.18,1,2,0,3
9.83,22,1,0,21.5,2,2,0,3
3.83,8,4,1,15.27,2,2,0,1
20.84,6,5,0,29.23,2,2,0,0
13.76,17,4,1,50.86,2,1,0,2
4.54,12,2,0,9.05,0,2,0,0
15.36,9,3,0,42.39,2,3,0,3
2.0,15,6,0,9.01,2,2,0,3
27.37,18,3,0,84.38,2,1,0,4
8.5,7,0,0,24.22,1,5,0,4
20.21,15,2,0,40.64,2,5,0,0
10.04,9,3,0,40.3,1,5,0,4
16.08,10,5,0,36.12,2,4,0,1
16.85,7,4,0,28.2,1,3,0,0
6.36,17,4,0,26.28,2,1,0,4
29.12,22,1,0,69.59,1,5,0,4
23.48,15,1,0,41.07,0,1,0,1
28.25,7,4,0,42.6,2,1,0,1
26.95,11,5,0,49.63,1,4,0,0
18.34,13,4,0,41.51,1,5,0,2
27.73,16,1,0,47.11,1,2,0,1
3.57,17,3,1,19.67,2,1,0,4
6.68,14,0,1,17.61,1,5,0,0
2.31,7,1,1,8.54,1,1,0,2
10.43,13,5,0,18.77,1,4,0,0
12.27,16,3,0,29.13,2,4,0,4
8.87,9,3,0,26.28,1,2,0,2
25.03,15,3,0,51.45,1,4,0,2
11.35,21,2,1,33.04,1,5,0,1
9.15,13,2,0,23.05,1,4,0,3
16.74,9,6,0,37.88,2,2,0,4
5.09,15,3,0,14.76,2,3,0,3
24.26,17,5,0,56.44,1,1,0,4
3.16,19,4,0,9.43,1,1,0,0
29.62,21,5,0,65.23,1,5,0,3
23.4,17,2,1,90.37,2,2,0,2
6.76,12,1,1,21.82,0,2,0,1
1.16,12,6,0,9.6,2,2,0,4
24.65,14,2,0,40.81,1,1,0,1
21.5,6,4,0,48.89,1,4,0,4
22.14,11,0,0,47.21,0,1,0,2
23.37,11,6,1,38.37,2,1,1,2
3.15,17,2,0,12.64,2,1,0,2
11.4,17,5,0,29.19,0,4,0,2
4.36,15,6,0,11.83,1,3,0,2
26.03,11,5,0,61.35,1,5,0,1
19.08,22,3,0,30.1,2,3,0,0
10.6,11,3,0,23.33,1,3,0,3
2.84,15,3,0,6.37,1,1,0,1
10.02,13,6,0,22.43,1,3,0,3
10.43,11,0,0,14.1,2,1,0,0
22.16,12,4,0,40.45,1,1,0,4
19.49,6,6,0,46.54,0,5,0,0
26.73,17,1,0,63.08,1,2,0,0
14.69,21,5,0,28.83,2,1,0,4
4.47,15,5,0,13.63,1,3,0,3
21.68,15,6,0,52.27,1,5,0,2
23.06,19,6,1,64.55,1,3,1,4
17.28,15,4,0,34.58,1,2,0,4
23.36,15,0,0,48.26,1,4,0,0
15.32,16,6,0,30.61,2,2,0,4
16.16,7,3,0,33.78,1,5,0,1
13.4,13,4,0,28.04,1,2,0,2
1.74,12,1,1,4.41,1,2,0,0
4.13,13,3,0,14.62,1,5,0,3
1.91,6,1,0,10.34,1,5,0,3
19.46,7,2,0,38.72,2,3,0,3
10.12,20,1,0,20.46,1,1,0,3
15.75,6,3,0,26.94,2,4,1,3
